Ticker,Name,Sector,P/B Ratio,NCA/BV Ratio,Equity Ratio %
3296.T,NIPPON REIT Investment Corporation,-,0.31,-0.003,N/A
3471.T,Mitsui Fudosan Logistics Park Inc.,-,0.31,-0.015,N/A
8972.T,KDX Realty Investment Corporation,-,0.31,-0.06,N/A
8952.T,Japan Real Estate Investment Corporation,-,0.32,-0.115,N/A
8951.T,Nippon Building Fund Inc.,-,0.35,-0.075,N/A
3290.T,"One REIT,Inc.",-,0.36,-0.001,N/A
8955.T,Japan Prime Realty Investment Corporation,-,0.37,-0.006,N/A
3226.T,Mitsui Fudosan Accommodations Fund Inc.,-,0.43,-0.091,N/A
3481.T,Mitsubishi Estate Logistics REIT Investment Corporation,-,0.46,-0.042,N/A
3287.T,"Hoshino Resorts REIT,Inc.",-,0.54,-0.002,N/A
3468.T,Star Asia Investment Corporation,-,0.56,-0.017,N/A
8984.T,Daiwa House REIT Investment Corporation,-,0.57,-0.023,N/A
3282.T,"Comforia Residential REIT,Inc",-,0.6,,N/A
8961.T,"MORI TRUST REIT,Inc.",-,0.62,-0.063,N/A
8967.T,"Japan Logistics Fund,Inc.",-,0.65,0.041,N/A
8976.T,Daiwa Office Investment Corporation,-,0.65,0.024,N/A
8953.T,Japan Metropolitan Fund Investment Corporation,-,0.7,-0.029,N/A
8954.T,ORIX JREIT Inc.,-,0.78,-0.067,N/A
3472.T,Nippon Hotel & Residential Investment Corporation,-,0.79,-0.209,N/A
3492.T,MIRARTH Real Estate Investment Corporation,-,0.88,-0.061,N/A
9204.T,Skymark Airlines Inc.,Air Transportation,0.7,-0.386,N/A
9201.T,"Japan Airlines Co.,Ltd.",Air Transportation,0.86,0.264,N/A
9202.T,ANA HOLDINGS INC.,Air Transportation,0.86,0.369,N/A
9233.T,"Asia Air Survey Co.,Ltd.",Air Transportation,1.0,0.521,N/A
9206.T,Star Flyer Inc.,Air Transportation,1.52,2.018,N/A
92025.T,Series 1 Bond-Type Class Shares of ANA HOLDINGS INC.,Air Transportation,1.56,N/A,N/A
7161.T,"Jimoto Holdings,Inc.",Banks,0.14,N/A,3.33
8416.T,"THE BANK OF KOCHI,LTD.",Banks,0.21,N/A,4.4
8537.T,"THE TAIKO BANK,LTD.",Banks,0.28,N/A,4.47
8383.T,"THE TOTTORI BANK,LTD.",Banks,0.29,N/A,4.34
8542.T,"TOMATO BANK,LTD.",Banks,0.31,N/A,4.1
7150.T,"THE SHIMANE BANK,LTD.",Banks,0.32,N/A,2.62
8364.T,"THE SHIMIZU BANK,LTD.",Banks,0.36,N/A,3.96
8365.T,"The Bank of Toyama,Ltd.",Banks,0.36,N/A,5.19
8349.T,"THE TOHOKU BANK,LTD.",Banks,0.38,N/A,3.5
8563.T,"THE DAITO BANK,LTD.",Banks,0.39,N/A,3.74
8713.T,FIDEA Holdings Co.Ltd.,Banks,0.4,N/A,2.64
8551.T,"The Kita-Nippon Bank,Ltd.",Banks,0.41,N/A,5.66
8558.T,"THE TOWA BANK,LTD.",Banks,0.42,N/A,3.8
8338.T,"Tsukuba Bank,Ltd.",Banks,0.44,N/A,3.17
8541.T,"The Ehime Bank,Ltd.",Banks,0.47,N/A,4.57
8344.T,"The Yamagata Bank,Ltd.",Banks,0.49,N/A,4.29
8562.T,"THE FUKUSHIMA BANK,LTD.",Banks,0.5,N/A,2.97
8343.T,"THE AKITA BANK,LTD.",Banks,0.53,N/A,4.52
8362.T,"The Fukui Bank,Ltd.",Banks,0.54,N/A,3.18
8387.T,"The Shikoku Bank, Ltd.",Banks,0.55,N/A,4.74
4102.T,"Maruo Calcium Co.,Ltd.",Chemicals,0.3,0.543,N/A
4234.T,"Sun A.Kaken Company,Limited",Chemicals,0.33,0.46,N/A
4615.T,"SHINTO PAINT COMPANY,LIMITED",Chemicals,0.33,0.042,N/A
7877.T,"EIDAI KAKO CO.,LTD.",Chemicals,0.33,0.601,N/A
7928.T,"ASAHI KAGAKU KOGYO CO.,LTD.",Chemicals,0.33,0.371,N/A
4120.T,"SUGAI CHEMICAL INDUSTRY CO.,LTD.",Chemicals,0.37,0.364,N/A
4406.T,"New Japan Chemical Co.,Ltd.",Chemicals,0.37,0.478,N/A
4624.T,"Isamu Paint Co.,Ltd.",Chemicals,0.39,0.361,N/A
4625.T,"ATOMIX CO.,LTD.",Chemicals,0.39,0.45,N/A
4968.T,"ARAKAWA CHEMICAL INDUSTRIES,LTD.",Chemicals,0.4,0.422,N/A
4228.T,"Sekisui Kasei Co.,Ltd.",Chemicals,0.41,0.138,N/A
4119.T,Nippon Pigment Holdings Company Limited,Chemicals,0.42,0.487,N/A
4231.T,TIGERS POLYMER CORPORATION,Chemicals,0.43,0.587,N/A
4235.T,"Ultrafabrics Holdings Co.,Ltd.",Chemicals,0.43,0.004,N/A
4243.T,"NIX,INC.",Chemicals,0.44,0.664,N/A
4623.T,ASAHIPEN CORPORATION,Chemicals,0.44,0.427,N/A
4242.T,TAKAGI SEIKO CORPORATION,Chemicals,0.45,0.457,N/A
6776.T,"Tensho Electric Industries Co.,Ltd.",Chemicals,0.45,0.079,N/A
4224.T,LONSEAL CORPORATION,Chemicals,0.47,0.671,N/A
5142.T,Achilles Corporation,Chemicals,0.48,0.421,N/A
1443.T,"Giken Holdings Co.,Ltd.",Construction,0.37,0.167,N/A
1897.T,"The Kaneshita Construction Co.,Ltd.",Construction,0.37,0.581,N/A
1994.T,TAKAHASHI CURTAIN WALL CORPORATION,Construction,0.41,0.538,N/A
1840.T,"TSUCHIYA HOLDINGS CO.,LTD.",Construction,0.47,0.379,N/A
1420.T,Sanyo Homes Corporation,Construction,0.48,1.434,N/A
1718.T,"MIKIKOGYO CO.,LTD.",Construction,0.48,0.388,N/A
1758.T,"Taiyo Kisokogyo Co.,Ltd.",Construction,0.54,0.606,N/A
1811.T,THE ZENITAKA CORPORATION,Construction,0.55,0.392,N/A
1867.T,UEKI CORPORATION,Construction,0.55,0.539,N/A
1807.T,"WATANABE SATO CO.,LTD.",Construction,0.56,0.483,N/A
1914.T,"JAPAN FOUNDATION ENGINEERING CO.,LTD.",Construction,0.56,0.35,N/A
1866.T,KITANO CONSTRUCTION CORP.,Construction,0.57,0.376,N/A
1873.T,"NIHON HOUSE HOLDINGS CO.,LTD.",Construction,0.6,-0.011,N/A
1966.T,TAKADA CORPORATION,Construction,0.65,0.623,N/A
1960.T,Sanyo Engineering & Construction Inc.,Construction,0.66,0.422,N/A
1887.T,JDC CORPORATION,Construction,0.67,0.86,N/A
1764.T,KUDO CORPORATION,Construction,0.7,0.16,N/A
1850.T,"Nankai Tatsumura Construction Co.,Ltd.",Construction,0.7,0.893,N/A
1905.T,TENOX CORPORATION,Construction,0.7,0.769,N/A
1911.T,"Sumitomo Forestry Co.,Ltd.",Construction,0.7,0.96,N/A
6513.T,"Origin Company,Limited",Electric Appliances,0.24,0.703,N/A
3856.T,Abalance Corporation,Electric Appliances,0.27,0.246,N/A
6899.T,ASTI CORPORATION,Electric Appliances,0.3,0.716,N/A
6619.T,W-SCOPE Corporation,Electric Appliances,0.32,-0.035,N/A
6699.T,"DIAMOND ELECTRIC HOLDINGS Co.,Ltd.",Electric Appliances,0.36,-0.223,N/A
6986.T,FUTABA CORPORATION,Electric Appliances,0.36,0.679,N/A
6964.T,"SANKO CO.,LTD.",Electric Appliances,0.38,0.624,N/A
6771.T,"IKEGAMI TSUSHINKI CO.,LTD.",Electric Appliances,0.4,0.922,N/A
6664.T,"OPTOELECTRONICS CO.,LTD.",Electric Appliances,0.41,1.028,N/A
6901.T,"SAWAFUJI ELECTRIC CO.,LTD.",Electric Appliances,0.45,0.277,N/A
6518.T,"SANSO ELECTRIC CO.,LTD.",Electric Appliances,0.46,0.545,N/A
6837.T,"KYOSHA CO.,LTD.",Electric Appliances,0.46,0.617,N/A
4902.T,"KONICA MINOLTA,INC.",Electric Appliances,0.47,0.574,N/A
7280.T,MITSUBA Corporation,Electric Appliances,0.47,0.61,N/A
6276.T,"SiriusVision CO.,LTD.",Electric Appliances,0.48,0.855,N/A
6615.T,"UMC Electronics Co.,Ltd.",Electric Appliances,0.48,-0.02,N/A
6844.T,"Shindengen Electric Manufacturing Co.,Ltd.",Electric Appliances,0.48,0.805,N/A
6743.T,"Daido Signal Co.,Ltd.",Electric Appliances,0.49,0.649,N/A
6694.T,ZOOM CORPORATION,Electric Appliances,0.5,1.16,N/A
6858.T,"ONO SOKKI Co.,Ltd.",Electric Appliances,0.51,0.501,N/A
9501.T,"Tokyo Electric Power Company Holdings,Incorporated",Electric Power and Gas,0.3,-0.606,N/A
9535.T,"HIROSHIMA GAS CO.,LTD.",Electric Power and Gas,0.4,0.346,N/A
9511.T,"The Okinawa Electric Power Company,Incorporated",Electric Power and Gas,0.41,-0.259,N/A
9514.T,EF-ON INC.,Electric Power and Gas,0.41,0.216,N/A
9504.T,"The Chugoku Electric Power Company,Incorporated",Electric Power and Gas,0.44,0.086,N/A
9539.T,"KEIYO GAS CO.,LTD.",Electric Power and Gas,0.44,0.127,N/A
9505.T,Hokuriku Electric Power Company,Electric Power and Gas,0.47,0.283,N/A
9509.T,"Hokkaido Electric Power Company,Incorporated",Electric Power and Gas,0.47,-0.185,N/A
9513.T,"Electric Power Development Co.,Ltd.",Electric Power and Gas,0.49,0.195,N/A
9506.T,"Tohoku Electric Power Company,Incorporated",Electric Power and Gas,0.51,-0.01,N/A
9537.T,"HOKURIKU GAS CO.,LTD.",Electric Power and Gas,0.52,0.132,N/A
7162.T,"ASTMAX Co.,Ltd.",Electric Power and Gas,0.6,0.583,N/A
9502.T,"Chubu Electric Power Company,Incorporated",Electric Power and Gas,0.65,-0.04,N/A
9508.T,"Kyushu Electric Power Company,Incorporated",Electric Power and Gas,0.71,-0.168,N/A
9507.T,"Shikoku Electric Power Company,Incorporated",Electric Power and Gas,0.72,0.232,N/A
9536.T,"SAIBU GAS HOLDINGS CO.,LTD.",Electric Power and Gas,0.8,0.014,N/A
9503.T,"The Kansai Electric Power Company,Incorporated",Electric Power and Gas,0.81,0.095,N/A
9543.T,"SHIZUOKA GAS CO.,LTD.",Electric Power and Gas,0.81,0.292,N/A
9519.T,"RENOVA,Inc.",Electric Power and Gas,0.86,0.622,N/A
9534.T,"HOKKAIDO GAS CO.,LTD.",Electric Power and Gas,0.88,0.063,N/A
1376.T,"KANEKO SEEDS CO.,LTD.","Fishery, Agriculture and Forestry",0.6,0.611,N/A
1301.T,"KYOKUYO CO.,LTD.","Fishery, Agriculture and Forestry",0.73,0.891,N/A
1333.T,Umios Corporation,"Fishery, Agriculture and Forestry",0.83,0.774,N/A
1379.T,HOKUTO CORPORATION,"Fishery, Agriculture and Forestry",0.93,0.243,N/A
1381.T,"AXYZ CO.,Ltd.","Fishery, Agriculture and Forestry",0.94,0.469,N/A
1377.T,SAKATA SEED CORPORATION,"Fishery, Agriculture and Forestry",1.02,0.582,N/A
1332.T,Nissui Corporation,"Fishery, Agriculture and Forestry",1.3,0.384,N/A
1382.T,"HOB Co.,Ltd.","Fishery, Agriculture and Forestry",1.81,1.029,N/A
1380.T,"AKIKAWA FOODS & FARMS CO.,LTD.","Fishery, Agriculture and Forestry",1.92,0.112,N/A
1384.T,"Hokuryo Co.,Ltd.","Fishery, Agriculture and Forestry",2.28,0.229,N/A
1383.T,"Berg Earth co.,ltd.","Fishery, Agriculture and Forestry",2.79,0.382,N/A
1375.T,"YUKIGUNI FACTORY CO.,LTD.","Fishery, Agriculture and Forestry",2.87,0.162,N/A
2814.T,"SATO FOODS INDUSTRIES CO.,LTD.",Foods,0.26,0.573,N/A
2055.T,"NICHIWA SANGYO CO.,LTD.",Foods,0.35,0.68,N/A
2917.T,"OHMORIYA Co.,LTD.",Foods,0.39,0.685,N/A
2221.T,"IWATSUKA CONFECTIONERY CO.,LTD.",Foods,0.47,0.108,N/A
2215.T,"FIRST BAKING CO.,LTD.",Foods,0.48,0.422,N/A
2911.T,"ASAHIMATSU FOODS CO.,LTD.",Foods,0.51,0.454,N/A
4404.T,"Miyoshi Oil & Fat Co.,Ltd.",Foods,0.51,0.322,N/A
2286.T,"Hayashikane Sangyo Co.,Ltd.",Foods,0.55,0.395,N/A
2877.T,NittoBest Corporation,Foods,0.55,0.254,N/A
2907.T,"AHJIKAN CO.,LTD.",Foods,0.56,0.315,N/A
2613.T,"J-OIL MILLS, INC.",Foods,0.6,0.604,N/A
2908.T,"FUJICCO CO.,LTD.",Foods,0.62,0.375,N/A
2806.T,YUTAKA FOODS CORPORATION,Foods,0.64,0.381,N/A
2916.T,"Semba Tohka Industries Co.,Ltd",Foods,0.64,0.379,N/A
2108.T,"Nippon Beet Sugar Manufacturing Co.,Ltd.",Foods,0.65,0.472,N/A
2892.T,"NIHON SHOKUHIN KAKO CO.,LTD.",Foods,0.65,0.446,N/A
2266.T,"ROKKO BUTTER CO.,LTD.",Foods,0.66,0.35,N/A
2819.T,"EBARA Foods Industry,Inc.",Foods,0.66,0.554,N/A
2004.T,"Showa Sangyo Co.,Ltd.",Foods,0.68,0.255,N/A
2009.T,"THE TORIGOE CO.,LTD.",Foods,0.68,0.472,N/A
5380.T,SHINTO COMPANY LIMITED,Glass and Ceramics Products,0.31,0.013,N/A
5204.T,"ISHIZUKA GLASS CO.,LTD.",Glass and Ceramics Products,0.33,0.603,N/A
5202.T,"Nippon Sheet Glass Company,Limited",Glass and Ceramics Products,0.38,-0.798,N/A
5269.T,"NIPPON CONCRETE INDUSTRIES CO.,LTD.",Glass and Ceramics Products,0.42,0.218,N/A
5279.T,"NIHON KOGYO CO.,LTD.",Glass and Ceramics Products,0.47,0.212,N/A
5282.T,GEOSTR Corporation,Glass and Ceramics Products,0.52,0.559,N/A
5391.T,A&A Material Corporation,Glass and Ceramics Products,0.53,0.287,N/A
5210.T,"Nihon Yamamura Glass Co.,Ltd.",Glass and Ceramics Products,0.56,0.383,N/A
5218.T,OHARA INC.,Glass and Ceramics Products,0.57,0.583,N/A
5363.T,TYK CORPORATION,Glass and Ceramics Products,0.59,0.699,N/A
5237.T,NOZAWA CORPORATION,Glass and Ceramics Products,0.62,0.485,N/A
5233.T,TAIHEIYO CEMENT CORPORATION,Glass and Ceramics Products,0.63,0.027,N/A
5304.T,"SEC CARBON,LIMITED",Glass and Ceramics Products,0.64,0.574,N/A
5232.T,"Sumitomo Osaka Cement Co.,Ltd.",Glass and Ceramics Products,0.65,0.107,N/A
5368.T,"JAPAN INSULATION CO.,LTD.",Glass and Ceramics Products,0.69,0.626,N/A
5388.T,"KUNIMINE INDUSTRIES CO.,LTD.",Glass and Ceramics Products,0.7,0.703,N/A
5301.T,"TOKAI CARBON CO.,LTD.",Glass and Ceramics Products,0.71,0.415,N/A
5355.T,"Nippon Crucible Co.,Ltd.",Glass and Ceramics Products,0.71,0.508,N/A
5367.T,NIKKATO CORPORATION,Glass and Ceramics Products,0.72,0.503,N/A
5351.T,"SHINAGAWA REFRA CO.,LTD.",Glass and Ceramics Products,0.73,0.551,N/A
351A.T,AXIS IT Partners Corp.,Information & Communication,0.32,0.792,N/A
9405.T,ASAHI BROADCASTING GROUP HOLDINGS CORPORATION,Information & Communication,0.43,0.379,N/A
3986.T,"bBreak Systems Company,Limited",Information & Communication,0.46,,N/A
4839.T,WOWOW INC.,Information & Communication,0.47,0.575,N/A
3787.T,"Techno Mathematical Co.,Ltd.",Information & Communication,0.53,0.529,N/A
3851.T,"Nippon Ichi Software,Inc.",Information & Communication,0.54,0.623,N/A
2138.T,"CROOZ,Inc.",Information & Communication,0.55,0.893,N/A
2484.T,"DEMAE-CAN CO.,LTD",Information & Communication,0.55,0.992,N/A
3627.T,TECMIRA HOLDINGS INC.,Information & Communication,0.55,0.48,N/A
4494.T,Vario Secure Inc.,Information & Communication,0.57,0.161,N/A
3760.T,"CAVE Interactive CO.,LTD.",Information & Communication,0.58,0.894,N/A
3758.T,Aeria Inc.,Information & Communication,0.59,0.977,N/A
9685.T,"KYCOM HOLDINGS CO.,LTD.",Information & Communication,0.64,0.376,N/A
4199.T,WonderPlanet Inc.,Information & Communication,0.65,1.688,N/A
9408.T,"BSN MEDIA HOLDINGS,INC.",Information & Communication,0.65,0.451,N/A
9414.T,Nippon BS Broadcasting Corporation,Information & Communication,0.67,0.609,N/A
3632.T,"GREE Holdings,Inc.",Information & Communication,0.68,1.024,N/A
3710.T,"Jorudan Co.,Ltd.",Information & Communication,0.68,0.687,N/A
9475.T,"Shobunsha Holdings,Inc.",Information & Communication,0.68,0.462,N/A
9409.T,TV Asahi Holdings Corporation,Information & Communication,0.7,0.211,N/A
7181.T,"JAPAN POST INSURANCE Co.,Ltd.",Insurance,0.4,N/A,5.44
8630.T,"Sompo Holdings,Inc.",Insurance,1.03,N/A,26.46
8795.T,"T&D Holdings, Inc.",Insurance,1.1,N/A,7.83
7326.T,"SBI Insurance Group Co.,Ltd.",Insurance,1.13,N/A,19.48
8750.T,"Dai-ichi Life Holdings,Inc.",Insurance,1.24,N/A,4.99
8725.T,"MS&AD Insurance Group Holdings,Inc.",Insurance,1.26,N/A,15.25
8729.T,Sony Financial Group Inc.,Insurance,1.35,N/A,N/A
7343.T,"Broad-Minded Co.,Ltd.",Insurance,1.75,0.65,N/A
7157.T,LIFENET INSURANCE COMPANY,Insurance,1.79,N/A,79.28
7325.T,IRRC Corporation,Insurance,1.88,0.435,N/A
8766.T,"Tokio Marine Holdings,Inc.",Insurance,2.56,N/A,16.25
8715.T,"Anicom Holdings,Inc.",Insurance,3.87,N/A,38.72
7388.T,FP Partner Inc.,Insurance,4.85,0.385,N/A
8798.T,"Advance Create Co.,Ltd.",Insurance,12.15,2.367,N/A
5491.T,"NIPPON KINZOKU CO.,LTD.",Iron and Steel,0.2,0.348,N/A
5446.T,"HOKUETSU METAL Co.,Ltd.",Iron and Steel,0.27,0.37,N/A
5603.T,KOGI CORPORATION,Iron and Steel,0.3,0.576,N/A
5408.T,"NAKAYAMA STEEL WORKS,LTD.",Iron and Steel,0.31,0.614,N/A
5410.T,"Godo Steel,Ltd.",Iron and Steel,0.32,0.42,N/A
5658.T,"NICHIA STEEL WORKS,LTD.",Iron and Steel,0.32,0.465,N/A
5660.T,"KOBELCO WIRE COMPANY,LTD.",Iron and Steel,0.36,0.535,N/A
5609.T,NIPPON CHUZO K.K.,Iron and Steel,0.37,0.395,N/A
5697.T,"SANYU CO.,LTD.",Iron and Steel,0.39,0.571,N/A
5411.T,"JFE Holdings,Inc.",Iron and Steel,0.42,0.354,N/A
5440.T,KYOEI STEEL LTD.,Iron and Steel,0.46,0.532,N/A
5449.T,"OSAKA STEEL CO.,LTD.",Iron and Steel,0.53,0.439,N/A
5401.T,NIPPON STEEL CORPORATION,Iron and Steel,0.56,0.411,N/A
5484.T,"Tohoku Steel Co.,Ltd.",Iron and Steel,0.58,0.482,N/A
5612.T,NIPPON CHUTETSUKAN K.K.,Iron and Steel,0.58,0.449,N/A
5644.T,METALART CORPORATION,Iron and Steel,0.58,0.417,N/A
5695.T,"Powdertech Co.,Ltd.",Iron and Steel,0.6,0.527,N/A
5406.T,"Kobe Steel,Ltd.",Iron and Steel,0.61,0.432,N/A
5464.T,MORY INDUSTRIES INC.,Iron and Steel,0.62,0.577,N/A
5480.T,"Nippon Yakin kogyo Co.,Ltd.",Iron and Steel,0.64,0.286,N/A
9036.T,"TOHBU NETWORK CO.,LTD.",Land Transportation,0.32,0.218,N/A
9063.T,"Okayamaken Freight Transportation CO.,LTD.",Land Transportation,0.34,0.002,N/A
9017.T,"Niigata Kotsu Co.,Ltd.",Land Transportation,0.39,-0.746,N/A
9060.T,JAPAN LOGISTIC SYSTEMS CORP.,Land Transportation,0.39,-0.15,N/A
9033.T,"Hiroshima Electric Railway Co.,Ltd.",Land Transportation,0.44,-0.371,N/A
9083.T,"Shinki Bus Co.,Ltd.",Land Transportation,0.46,0.049,N/A
9087.T,TAKASE CORPORATION,Land Transportation,0.47,0.242,N/A
9074.T,"Japan Oil Transportation Co.,Ltd.",Land Transportation,0.59,0.173,N/A
9012.T,"Chichibu Railway Co.,Ltd.",Land Transportation,0.6,-0.391,N/A
9082.T,"Daiwa Motor Transportation Co.,Ltd.",Land Transportation,0.61,-0.438,N/A
9034.T,"NANSO Transport Co.,Ltd.",Land Transportation,0.64,0.078,N/A
9081.T,"Kanagawa Chuo Kotsu Co.,Ltd.",Land Transportation,0.65,-0.434,N/A
9075.T,"FUKUYAMA TRANSPORTING CO.,LTD.",Land Transportation,0.66,-0.055,N/A
9059.T,"Kanda Holdings Co.,Ltd.",Land Transportation,0.67,0.221,N/A
9048.T,"Nagoya Railroad Co., Ltd.",Land Transportation,0.71,-0.217,N/A
9052.T,"Sanyo Electric Railway Co.,Ltd.",Land Transportation,0.72,-0.017,N/A
9046.T,"Kobe Electric Railway Co.,Ltd.",Land Transportation,0.76,-0.984,N/A
9022.T,Central Japan Railway Company,Land Transportation,0.78,0.252,N/A
9073.T,"Kyogoku unyu shoji Co.,Ltd.",Land Transportation,0.79,0.057,N/A
9031.T,"Nishi-Nippon Railroad Co.,Ltd.",Land Transportation,0.82,0.243,N/A
6467.T,NICHIDAI CORPORATION,Machinery,0.3,0.444,N/A
6317.T,Kitagawa Corporation,Machinery,0.33,0.386,N/A
6464.T,"TSUBAKI NAKASHIMA CO.,LTD.",Machinery,0.33,0.033,N/A
6155.T,"TAKAMATSU MACHINERY CO.,LTD.",Machinery,0.34,0.591,N/A
6218.T,ENSHU Limited,Machinery,0.35,0.562,N/A
6138.T,"DIJET INDUSTRIAL CO.,LTD.",Machinery,0.37,0.615,N/A
6390.T,"KATO WORKS CO.,LTD.",Machinery,0.37,0.889,N/A
7021.T,"NITCHITSU CO.,LTD.",Machinery,0.37,0.393,N/A
6222.T,"SHIMA SEIKI MFG.,LTD.",Machinery,0.38,0.728,N/A
6428.T,OIZUMI Corporation,Machinery,0.39,0.508,N/A
6408.T,"OGURA CLUTCH CO.,LTD.",Machinery,0.4,0.51,N/A
6339.T,"Sintokogio,Ltd.",Machinery,0.41,0.548,N/A
6292.T,"KAWATA MFG. CO.,LTD.",Machinery,0.42,0.835,N/A
6425.T,Universal Entertainment Corporation,Machinery,0.44,0.399,N/A
6316.T,"MARUYAMA MFG.CO.,INC.",Machinery,0.45,0.37,N/A
6470.T,"TAIHO KOGYO CO.,LTD.",Machinery,0.45,0.561,N/A
6335.T,"TOKYO KIKAI SEISAKUSHO,LTD.",Machinery,0.47,1.062,N/A
6393.T,"YUKEN KOGYO CO.,LTD.",Machinery,0.47,0.705,N/A
6257.T,"FUJISHOJI CO.,LTD.",Machinery,0.48,0.595,N/A
6463.T,"TPR CO.,LTD.",Machinery,0.48,0.525,N/A
9130.T,"KYOEI TANKER CO.,LTD.",Marine Transportation,0.49,-0.01,N/A
9127.T,"TAMAI STEAMSHIP CO.,LTD",Marine Transportation,0.62,0.437,N/A
9171.T,"Kuribayashi Steamship Co.,Ltd.",Marine Transportation,0.69,0.261,N/A
9104.T,"Mitsui O.S.K.Lines,Ltd.",Marine Transportation,0.73,0.017,N/A
9115.T,"Meiji Shipping Group Co.,Ltd.",Marine Transportation,0.77,-0.015,N/A
9101.T,Nippon Yusen Kabushiki Kaisha,Marine Transportation,0.79,0.059,N/A
9107.T,"Kawasaki Kisen Kaisha,Ltd.",Marine Transportation,0.89,0.12,N/A
9110.T,"NS United Kaiun Kaisha,Ltd.",Marine Transportation,0.93,0.438,N/A
9308.T,"Inui Global Logistics Co.,Ltd.",Marine Transportation,1.0,0.33,N/A
9119.T,"IINO KAIUN KAISHA,LTD.",Marine Transportation,1.12,-0.18,N/A
9173.T,"Tokai Kisen Co.,Ltd.",Marine Transportation,1.24,0.348,N/A
5932.T,"Sankyo Tateyama,Inc.",Metal Products,0.21,0.282,N/A
3422.T,"J-MAX Co.,Ltd.",Metal Products,0.28,0.027,N/A
5918.T,"The Takigami Steel Construction Co.,Ltd.",Metal Products,0.31,0.308,N/A
3434.T,ALPHA Corporation,Metal Products,0.32,0.394,N/A
5900.T,"DAIKEN CO.,LTD.",Metal Products,0.32,0.574,N/A
5973.T,TOAMI CORPORATION,Metal Products,0.33,0.268,N/A
3439.T,Mitsuchi Corporation,Metal Products,0.34,0.579,N/A
5956.T,"TOSO CO.,LTD.",Metal Products,0.34,0.7,N/A
5984.T,KANEFUSA CORPORATION,Metal Products,0.34,0.537,N/A
5986.T,"MOLITEC STEEL CO.,LTD.",Metal Products,0.34,0.51,N/A
5994.T,"FINE SINTER CO.,LTD.",Metal Products,0.34,-0.004,N/A
7985.T,NEPON Inc.,Metal Products,0.34,0.812,N/A
5909.T,CORONA CORPORATION,Metal Products,0.35,0.391,N/A
5915.T,KOMAIHALTEC Inc.,Metal Products,0.36,0.753,N/A
5970.T,G-TEKT CORPORATION,Metal Products,0.36,0.323,N/A
5921.T,"Kawagishi Bridge Works Co.,Ltd.",Metal Products,0.4,0.705,N/A
5997.T,KYORITSU AIR TECH INC.,Metal Products,0.4,0.415,N/A
5928.T,"ALMETAX MANUFACTURING CO,LTD.",Metal Products,0.41,0.463,N/A
5940.T,"FUJISASH CO.,LTD.",Metal Products,0.44,0.507,N/A
5902.T,HOKKAN HOLDINGS LIMITED,Metal Products,0.45,0.311,N/A
1605.T,INPEX CORPORATION,Mining,0.96,0.057,N/A
1662.T,"Japan Petroleum Exploration Co.,Ltd.",Mining,0.99,0.344,N/A
1663.T,K&O Energy Group Inc.,Mining,1.19,0.386,N/A
1515.T,"Nittetsu Mining Co.,Ltd.",Mining,1.26,0.328,N/A
1514.T,"Sumiseki Holdings,Inc.",Mining,1.69,0.743,N/A
5852.T,AHRESTY CORPORATION,Nonferrous Metals,0.39,0.009,N/A
5820.T,"MITSUBOSHI CO.,LTD.",Nonferrous Metals,0.41,0.685,N/A
5851.T,RYOBI LIMITED,Nonferrous Metals,0.45,0.388,N/A
5757.T,"CK SAN-ETSU Co.,Ltd.",Nonferrous Metals,0.66,0.726,N/A
